Observe,Shannon,J,Group,study
230,3.3844208031838,0.622355911145024,Normal,Flemer_17
308,4.36249231708959,0.761329205828545,Normal,Flemer_17
247,4.00574871083501,0.72707684884067,Normal,Flemer_17
143,3.06831448519849,0.618257212101722,Normal,Flemer_17
264,3.56647735933235,0.639617990293331,Normal,Flemer_17
180,3.43922996851323,0.66228741490961,Normal,Flemer_17
204,3.42328319129577,0.643701758376693,Normal,Flemer_17
259,3.79932146880532,0.68372125727484,Normal,Flemer_17
329,3.60373225242031,0.62175575320043,Normal,Flemer_17
248,3.80159421523086,0.689515434089026,Normal,Flemer_17
238,3.63219125208322,0.663744808815588,Normal,Flemer_17
271,3.7755665701794,0.673953318538596,Normal,Flemer_17
276,3.79225307564588,0.674729999914694,Normal,Flemer_17
283,3.95948172467828,0.701358421479655,Normal,Flemer_17
259,3.76929025648855,0.678316876937115,Normal,Flemer_17
284,4.05960091622025,0.718643906852315,Normal,Flemer_17
214,3.6343076013304,0.677287336200589,Normal,Flemer_17
298,3.85116114769004,0.67598700228673,Normal,Flemer_17
311,4.18320581198047,0.728807794285427,Normal,Flemer_17
238,3.8262051766952,0.699198816152146,Normal,Flemer_17
346,4.45959791850636,0.762788783067744,Normal,Flemer_17
269,3.64134636111786,0.650855086894046,Normal,Flemer_17
277,3.8226573623495,0.679702251663326,Normal,Flemer_17
342,4.44958150375404,0.762592259503874,Normal,Flemer_17
271,3.50477122619816,0.625615296329579,Normal,Flemer_17
220,3.23364811618759,0.599531222428302,Normal,Flemer_17
253,3.73581323861331,0.675140119130203,Normal,Flemer_17
328,4.27468751878061,0.737903931831597,Normal,Flemer_17
210,3.46239613499227,0.647526932103363,Normal,Flemer_17
195,2.77624344626192,0.526501740693889,Normal,Flemer_17
322,4.32850572261367,0.749583008909758,Normal,Flemer_17
222,3.68097727962206,0.681324650620991,Normal,Flemer_17
233,3.55479169020204,0.652131097676762,Normal,Flemer_17
278,4.05244346006122,0.720098844288328,Normal,Flemer_17
196,2.40942868931098,0.456494192504383,Normal,Flemer_17
242,2.99520531898195,0.545680324392963,Normal,Flemer_17
183,3.70923186788326,0.712014920293074,CRC,Flemer_17
233,3.63169107231873,0.666238388016347,CRC,Flemer_17
97,1.96525356930318,0.429590760714267,CRC,Flemer_17
213,3.39047356358942,0.632398582057275,CRC,Flemer_17
248,3.54433104002914,0.642854238842661,CRC,Flemer_17
180,3.47823594946329,0.669798738818142,CRC,Flemer_17
230,3.54450588520663,0.651793709479476,CRC,Flemer_17
251,3.90778333850895,0.707233123068274,CRC,Flemer_17
190,3.60364119497065,0.686797153093073,CRC,Flemer_17
222,3.69484441836443,0.68389136666976,CRC,Flemer_17
248,3.54003705164288,0.642075415249586,CRC,Flemer_17
186,2.59034130475153,0.495688265522244,CRC,Flemer_17
226,3.34809084533559,0.617667969265963,CRC,Flemer_17
155,3.10542351994067,0.615737013626486,CRC,Flemer_17
337,4.10113121390311,0.70465167987818,CRC,Flemer_17
337,3.9658911862933,0.681414892837824,CRC,Flemer_17
218,3.48609144871697,0.647431450500993,CRC,Flemer_17
320,4.30931473231906,0.7470656947596,CRC,Flemer_17
208,3.62304384921002,0.678785574006201,CRC,Flemer_17
245,3.76132450738379,0.683720771399921,CRC,Flemer_17
250,3.67220881743961,0.66507920133235,CRC,Flemer_17
115,2.66954754485719,0.562610269786524,CRC,Flemer_17
84,2.01061721947526,0.453780264623025,CRC,Flemer_17
211,3.45392305336425,0.645368947984595,CRC,Flemer_17
238,3.60284838249481,0.658382707534745,CRC,Flemer_17
256,3.80191031368078,0.685624644431482,CRC,Flemer_17
158,2.66031757354037,0.525484964960695,CRC,Flemer_17
235,3.48929279054146,0.639113130749897,CRC,Flemer_17
66,2.36600826343762,0.564726310190715,CRC,Flemer_17
38,1.1686816913109,0.321279452910281,CRC,Flemer_17
164,2.5172567513504,0.493592682666468,CRC,Flemer_17
315,4.1626548907074,0.723616223915634,CRC,Flemer_17
230,3.79645290977862,0.698123858463985,CRC,Flemer_17
139,2.73586515874178,0.554439074117471,CRC,Flemer_17
244,3.61024878781052,0.656747008614233,CRC,Flemer_17
282,4.042480755354,0.716509631322558,CRC,Flemer_17
240,2.91783529608372,0.532389624074064,CRC,Flemer_17
249,3.75271204965798,0.680152983646225,CRC,Flemer_17
205,3.00794528850138,0.565083533619122,CRC,Flemer_17
247,4.02764379796865,0.731050990033091,CRC,Flemer_17
136,2.77020391501011,0.563891415017454,CRC,Flemer_17
209,3.57783875367951,0.669714507729211,CRC,Flemer_17
